business_name,address,phone_number,email,city,state,zip_code_postcode,website,description,latitude,longitude,ticker_symbol,kindex_score,is_black_owned,business_location,category,hero_image,owner_name,is_premium,tier_level,is_ecommerce,is_veteran,subscription_tier,marketing_generations_used,is_priority_pinned,is_claimed,kindex_velocity,ar_asset_url,is_ar_enabled,has_flash_beacon,loi_signed,marketing_tier,doordash_url,ubereats_url,grubhub_url,is_delivery_eligible,firestore_location,search_keywords,is_farmer,is_wholesale,is_retail,is_verified,review_count,interaction_count,total_sentiment_score
Desert Oak Barbecue,"11411 Gateway Blvd W, El Paso, TX 79936",9153094322,,El Paso,Texas,79936,https://www.desertoakbarbecue.com/,"Oak-smoked BBQ, comfort-food sides & banana pudding, offered in rustic digs with outdoor seating.",31.7367544,-106.3205353,DESE,500,FALSE,"31.7367544, -106.3205353",Barbecue restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7367544, -106.3205353",,FALSE,FALSE,FALSE,FALSE,0,0,0
Golden Corral Buffet & Grill,"1460 Lee Trevino Dr, El Paso, TX 79936",9155928411,,El Paso,Texas,79936,https://www.goldencorral.com/locations/537/golden-corral-lee-trevino-drive?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=537,"Family-friendly buffet chain featuring all-you-can-eat American fare, plus salad & dessert bars.",31.7500202,-106.3181786,GOLD,500,FALSE,"31.7500202, -106.3181786",Buffet restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7500202, -106.3181786",,FALSE,FALSE,FALSE,FALSE,0,0,0
Subway,"9417 Alameda Ave A, El Paso, TX 79907",9158584131,,El Paso,Texas,79907,https://restaurants.subway.com/united-states/tx/el-paso/9417-alameda-ave?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=27538&utm_campaign=evergreen-2020&y_source=1_MTQ5MTQ2MDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.",31.6832262,-106.3143528,SUBW,500,FALSE,"31.6832262, -106.3143528",Sandwich shop,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.6832262, -106.3143528",,FALSE,FALSE,FALSE,FALSE,0,0,0
BJ's Restaurant & Brewhouse,"11905 Gateway Blvd W, El Paso, TX 79936",9156338300,,El Paso,Texas,79936,https://www.bjsrestaurants.com/locations/tx/el-paso,Family-friendly chain outpost pairs familiar pub fare with an extensive list of house brews.,31.7243029,-106.307405,BJ'S,500,FALSE,"31.7243029, -106.307405",Restaurant,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.7243029, -106.307405",,FALSE,FALSE,FALSE,FALSE,0,0,0
Bubba's 33,"11925 Gateway Blvd W, El Paso, TX 79936",9152966911,,El Paso,Texas,79936,https://www.bubbas33.com/locations/texas/el-paso?utm_source=listing&utm_medium=search,"Burgers, pizza & beer served alongside many large-screen TVs showing sports & music videos.",31.723286,-106.306145,BUBB,500,FALSE,"31.723286, -106.306145",American restaurant,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.723286, -106.306145",,FALSE,FALSE,FALSE,FALSE,0,0,0
CoCol: Coffee,"10180 Socorro Rd, Socorro, TX 79927",9157026245,,Socorro,Texas,79927,,,31.6545119,-106.3037282,COCO,500,FALSE,"31.6545119, -106.3037282",Coffee shop,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.6545119, -106.3037282",,FALSE,FALSE,FALSE,FALSE,0,0,0
Noodles & Dumplings,"1355 George Dieter Dr Bldg A Suite 102, El Paso, TX 79936",9153002232,,El Paso,Texas,79936,https://www.noodlesanddumplings.com/,,31.728628,-106.3033371,NOOD,500,FALSE,"31.728628, -106.3033371",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.728628, -106.3033371",,FALSE,FALSE,FALSE,FALSE,0,0,0
Feet Geek Footcare Studio EP,"1810 George Dieter Dr #1 Ste 106-107, El Paso, TX 79936",9158885365,,El Paso,Texas,79936,https://feetgeekfootcarestudioep.glossgenius.com/,,31.7657144,-106.3012479,FEET,500,FALSE,"31.7657144, -106.3012479",Beauty salon,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7657144, -106.3012479",,FALSE,FALSE,FALSE,FALSE,0,0,0
Gwada Soul,"3020 Trawood Dr Ste G, El Paso, TX 79936",9159967459,,El Paso,Texas,79936,https://www.gwadasoul.com/,,31.7641888,-106.3007416,GWAD,500,FALSE,"31.7641888, -106.3007416",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7641888, -106.3007416",,FALSE,FALSE,FALSE,FALSE,0,0,0
Pizza Junction,"3790 N Zaragoza Rd, El Paso, TX 79938",9158499737,,El Paso,Texas,79938,https://www.pizzajunctiontx.com/,,31.8106721,-106.2149113,PIZZ,500,FALSE,"31.8106721, -106.2149113",Pizza restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8106721, -106.2149113",,FALSE,FALSE,FALSE,FALSE,0,0,0
